New data
33728 33934 31915 32266 28364 32266 37990 32006 37025 74717 37023 38531 36456 37129 39582 37129 37569 33500 34318 41001 34322 35354 33700 34252 21414
32266 37990 32006 37025 74717 37023 38531 36456 37129 39582 37129 37569 33500 34318 41001 34322 35354 33700 34252 21414 34246 34933 32825 33273 19111
37023 38531 36456 37129 39582 37129 37569 33500 34318 41001 34322 35354 33700 34252 21414 34246 34933 32825 33273 19111 33273 34200 33001 34046 15377
37129 37569 33500 34318 41001 34322 35354 33700 34252 21414 34246 34933 32825 33273 19111 33273 34200 33001 34046 15377 34046 34424 33510 33660 15905
34322 35354 33700 34252 21414 34246 34933 32825 33273 19111 33273 34200 33001 34046 15377 34046 34424 33510 33660 15905 33660 34500 33410 34210 11980
34246 34933 32825 33273 19111 33273 34200 33001 34046 15377 34046 34424 33510 33660 15905 33660 34500 33410 34210 11980 34210 34400 33520 34286 13229
33273 34200 33001 34046 15377 34046 34424 33510 33660 15905 33660 34500 33410 34210 11980 34210 34400 33520 34286 13229 34286 34800 33966 34262 9285
34046 34424 33510 33660 15905 33660 34500 33410 34210 11980 34210 34400 33520 34286 13229 34286 34800 33966 34262 9285 34262 34342 33655 33930 9135
33660 34500 33410 34210 11980 34210 34400 33520 34286 13229 34286 34800 33966 34262 9285 34262 34342 33655 33930 9135 33930 34127 33450 33607 7736
34210 34400 33520 34286 13229 34286 34800 33966 34262 9285 34262 34342 33655 33930 9135 33930 34127 33450 33607 7736 33607 33832 33205 33563 9660
34286 34800 33966 34262 9285 34262 34342 33655 33930 9135 33930 34127 33450 33607 7736 33607 33832 33205 33563 9660 33563 34220 32554 32862 15985
34262 34342 33655 33930 9135 33930 34127 33450 33607 7736 33607 33832 33205 33563 9660 33563 34220 32554 32862 15985 32862 33077 32171 32808 15824
33930 34127 33450 33607 7736 33607 33832 33205 33563 9660 33563 34220 32554 32862 15985 32862 33077 32171 32808 15824 32807 33255 32461 33092 10398
33607 33832 33205 33563 9660 33563 34220 32554 32862 15985 32862 33077 32171 32808 15824 32807 33255 32461 33092 10398 33092 33830 32296 33573 14674
33563 34220 32554 32862 15985 32862 33077 32171 32808 15824 32807 33255 32461 33092 10398 33092 33830 32296 33573 14674 33573 34427 33284 33803 15350
32862 33077 32171 32808 15824 32807 33255 32461 33092 10398 33092 33830 32296 33573 14674 33573 34427 33284 33803 15350 33802 34717 33589 34183 19521
32807 33255 32461 33092 10398 33092 33830 32296 33573 14674 33573 34427 33284 33803 15350 33802 34717 33589 34183 19521 34183 34460 33160 33160 17478
33092 33830 32296 33573 14674 33573 34427 33284 33803 15350 33802 34717 33589 34183 19521 34183 34460 33160 33160 17478 33160 34100 33133 33838 9133
33573 34427 33284 33803 15350 33802 34717 33589 34183 19521 34183 34460 33160 33160 17478 33160 34100 33133 33838 9133 33838 34039 33430 33526 6559
33802 34717 33589 34183 19521 34183 34460 33160 33160 17478 33160 34100 33133 33838 9133 33838 34039 33430 33526 6559 33517 34161 33418 33550 9103
34183 34460 33160 33160 17478 33160 34100 33133 33838 9133 33838 34039 33430 33526 6559 33517 34161 33418 33550 9103 33554 34400 33500 34223 10429
33160 34100 33133 33838 9133 33838 34039 33430 33526 6559 33517 34161 33418 33550 9103 33554 34400 33500 34223 10429 34223 35668 34080 34720 22068
33838 34039 33430 33526 6559 33517 34161 33418 33550 9103 33554 34400 33500 34223 10429 34223 35668 34080 34720 22068 34722 35200 34333 34708 12709
33517 34161 33418 33550 9103 33554 34400 33500 34223 10429 34223 35668 34080 34720 22068 34722 35200 34333 34708 12709 34708 35800 34556 35762 13461
33554 34400 33500 34223 10429 34223 35668 34080 34720 22068 34722 35200 34333 34708 12709 34708 35800 34556 35762 13461 35762 35984 35466 35466 10283
34223 35668 34080 34720 22068 34722 35200 34333 34708 12709 34708 35800 34556 35762 13461 35762 35984 35466 35466 10283 35472 36500 35362 36403 13559
34722 35200 34333 34708 12709 34708 35800 34556 35762 13461 35762 35984 35466 35466 10283 35472 36500 35362 36403 13559 36403 36845 36231 36297 11921
34708 35800 34556 35762 13461 35762 35984 35466 35466 10283 35472 36500 35362 36403 13559 36403 36845 36231 36297 11921 36297 36299 35511 35969 13023
35762 35984 35466 35466 10283 35472 36500 35362 36403 13559 36403 36845 36231 36297 11921 36297 36299 35511 35969 13023 35969 36917 35810 36850 15213
35472 36500 35362 36403 13559 36403 36845 36231 36297 11921 36297 36299 35511 35969 13023 35969 36917 35810 36850 15213 36850 37221 36643 36788 15217
36403 36845 36231 36297 11921 36297 36299 35511 35969 13023 35969 36917 35810 36850 15213 36850 37221 36643 36788 15217 36788 37662 36644 37618 11848
36297 36299 35511 35969 13023 35969 36917 35810 36850 15213 36850 37221 36643 36788 15217 36788 37662 36644 37618 11848 37620 38288 37363 37498 16048
35969 36917 35810 36850 15213 36850 37221 36643 36788 15217 36788 37662 36644 37618 11848 37620 38288 37363 37498 16048 37498 38195 37326 37843 11666
36850 37221 36643 36788 15217 36788 37662 36644 37618 11848 37620 38288 37363 37498 16048 37498 38195 37326 37843 11666 37843 38708 36662 37321 23737
36788 37662 36644 37618 11848 37620 38288 37363 37498 16048 37498 38195 37326 37843 11666 37843 38708 36662 37321 23737 37319 37763 36161 36564 16990
