Kline open time,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2020-08-11 12:00:00 AM,11896.86,11944.00,11127.00,11392.64,336861.638,1084362,156502.461
2020-08-12 12:00:00 AM,11392.64,11630.00,11140.00,11568.36,213799.491,757273,102352.766
2020-08-13 12:00:00 AM,11568.37,11798.00,11272.00,11790.00,248214.725,885018,118969.247
2020-08-14 12:00:00 AM,11790.00,11868.42,11644.60,11767.89,159019.959,584032,75682.922
2020-08-15 12:00:00 AM,11767.89,11993.58,11682.00,11859.04,222262.987,785891,105834.035
2020-08-16 12:00:00 AM,11858.91,11945.00,11688.00,11921.23,165733.721,639729,76667.848
2020-08-17 12:00:00 AM,11921.32,12499.42,11780.00,12298.06,331435.112,1161367,161447.129
2020-08-18 12:00:00 AM,12298.06,12403.00,11810.00,11960.79,291349.888,981973,132683.109
2020-08-19 12:00:00 AM,11962.03,12037.05,11574.78,11763.87,313267.066,1046341,148727.263
2020-08-20 12:00:00 AM,11763.88,11888.00,11676.03,11857.92,130981.044,543754,61692.133
2020-08-21 12:00:00 AM,11858.53,11882.68,11491.00,11538.53,195106.536,736783,88228.749
2020-08-22 12:00:00 AM,11538.53,11689.08,11385.06,11670.47,126696.730,523937,58241.406
2020-08-23 12:00:00 AM,11670.48,11724.00,11522.15,11654.00,95608.033,435619,45109.884
2020-08-24 12:00:00 AM,11654.00,11831.96,11595.00,11753.30,108781.125,483641,51421.572
2020-08-25 12:00:00 AM,11753.29,11770.00,11130.00,11327.17,267234.771,857056,121453.963
2020-08-26 12:00:00 AM,11327.18,11548.68,11255.95,11466.22,170305.024,589715,82683.838
2020-08-27 12:00:00 AM,11466.22,11593.00,11130.82,11335.53,253778.342,836864,121995.529
2020-08-28 12:00:00 AM,11335.83,11544.88,11283.19,11526.85,129477.627,540434,64801.238
2020-08-29 12:00:00 AM,11526.85,11582.00,11419.34,11466.66,83715.229,363971,39277.408
2020-08-30 12:00:00 AM,11466.27,11724.12,11457.88,11714.14,113266.672,432138,56823.628
2020-08-31 12:00:00 AM,11714.13,11784.21,11575.78,11658.11,127272.378,479728,60216.605
2020-09-01 12:00:00 AM,11658.11,12061.07,11531.34,11930.18,211680.828,688502,104458.170
2020-09-02 12:00:00 AM,11930.17,11961.00,11156.00,11396.96,280411.964,905753,127800.691
2020-09-03 12:00:00 AM,11396.44,11475.00,9901.16,10141.08,487812.737,1372974,224882.980
2020-09-04 12:00:00 AM,10141.40,10635.77,9878.65,10448.00,432563.841,1249839,211148.578
2020-09-05 12:00:00 AM,10448.00,10567.87,9808.58,10168.71,399307.282,1315104,183265.457
2020-09-06 12:00:00 AM,10168.23,10348.97,10003.00,10258.13,190207.654,771859,86302.080
2020-09-07 12:00:00 AM,10258.13,10420.55,9879.68,10378.76,258476.949,969133,121049.246
2020-09-08 12:00:00 AM,10379.30,10443.79,9842.01,10129.02,317802.322,1173460,150366.645
2020-09-09 12:00:00 AM,10130.00,10346.00,9981.13,10219.29,151222.689,640882,72122.522
2020-09-10 12:00:00 AM,10219.29,10484.60,10211.67,10335.91,187667.873,688022,87283.386
2020-09-11 12:00:00 AM,10335.91,10397.85,10200.80,10387.81,135929.303,541085,64281.517
2020-09-12 12:00:00 AM,10387.81,10477.70,10271.00,10438.28,97429.037,438259,47963.934
2020-09-13 12:00:00 AM,10438.29,10580.00,10209.01,10327.72,159021.843,556241,79370.115
2020-09-14 12:00:00 AM,10327.72,10746.06,10241.57,10664.10,205260.236,713135,114668.911
2020-09-15 12:00:00 AM,10664.10,10923.42,10592.00,10776.78,247657.230,786180,131338.790
2020-09-16 12:00:00 AM,10776.88,11089.08,10661.90,10948.17,252881.019,840472,136128.160
2020-09-17 12:00:00 AM,10948.16,11040.00,10740.00,10935.33,186484.361,658642,95997.159
2020-09-18 12:00:00 AM,10935.97,11035.00,10810.10,10926.29,136028.351,548421,70136.590
2020-09-19 12:00:00 AM,10926.30,11177.00,10880.00,11073.74,126239.232,537084,66707.126
2020-09-20 12:00:00 AM,11073.20,11073.90,10751.00,10914.28,150450.562,556991,75724.631
2020-09-21 12:00:00 AM,10915.52,10980.69,10281.00,10414.73,333047.145,1017541,164716.125
2020-09-22 12:00:00 AM,10414.73,10574.08,10353.10,10523.32,179900.686,628666,93498.058
2020-09-23 12:00:00 AM,10523.32,10531.94,10132.21,10237.91,203027.542,718731,102352.883
2020-09-24 12:00:00 AM,10237.91,10837.27,10191.00,10724.92,241646.573,849084,136707.150
2020-09-25 12:00:00 AM,10724.91,10754.29,10551.56,10683.51,170930.773,658581,88397.078
2020-09-26 12:00:00 AM,10683.50,10827.80,10642.23,10726.50,109340.491,553316,59007.180
2020-09-27 12:00:00 AM,10726.50,10793.50,10584.00,10768.00,123440.716,540964,63429.233
2020-09-28 12:00:00 AM,10768.00,11024.00,10627.19,10691.45,187105.377,652011,97662.644
2020-09-29 12:00:00 AM,10691.94,10863.94,10631.49,10836.98,146888.319,560608,77490.574
2020-09-30 12:00:00 AM,10836.99,10845.99,10660.05,10773.00,132834.116,527339,68683.604
2020-10-01 12:00:00 AM,10773.00,10935.14,10442.00,10612.63,253619.622,794540,130468.053
2020-10-02 12:00:00 AM,10612.62,10660.00,10371.03,10565.15,224747.037,764820,113926.065
2020-10-03 12:00:00 AM,10565.44,10596.00,10491.11,10537.96,76315.911,434460,40622.782
2020-10-04 12:00:00 AM,10537.96,10694.00,10514.00,10660.16,90912.105,492034,50394.855
2020-10-05 12:00:00 AM,10660.16,10792.00,10608.90,10785.00,130589.137,593867,70197.411
2020-10-06 12:00:00 AM,10784.99,10792.00,10510.66,10593.65,184895.250,699471,90311.669
2020-10-07 12:00:00 AM,10593.65,10675.00,10540.29,10658.75,106700.522,502888,55471.502
2020-10-08 12:00:00 AM,10658.75,10958.00,10523.00,10919.45,207938.861,754390,110601.014
2020-10-09 12:00:00 AM,10919.45,11110.00,10818.44,11050.47,154336.818,640685,79025.665
2020-10-10 12:00:00 AM,11050.46,11494.00,11050.46,11294.79,199398.012,731572,98369.054
2020-10-11 12:00:00 AM,11294.78,11450.73,11273.77,11369.59,146323.076,587941,70072.329
2020-10-12 12:00:00 AM,11369.59,11732.00,11157.00,11530.36,254217.203,781051,123464.434
2020-10-13 12:00:00 AM,11530.37,11562.00,11308.00,11419.36,199115.115,693780,95540.483
2020-10-14 12:00:00 AM,11419.36,11550.00,11280.50,11417.13,192936.970,694620,93295.555
2020-10-15 12:00:00 AM,11417.12,11649.48,11250.00,11502.00,215260.399,768321,114746.857
2020-10-16 12:00:00 AM,11502.00,11538.92,11175.00,11318.92,212339.085,725825,98735.212
2020-10-17 12:00:00 AM,11319.51,11424.09,11250.00,11356.25,95892.966,459443,48001.372
2020-10-18 12:00:00 AM,11356.25,11529.93,11342.54,11501.10,92472.191,444193,50893.731
2020-10-19 12:00:00 AM,11501.50,11830.00,11404.01,11745.00,230161.648,770332,121302.088
2020-10-20 12:00:00 AM,11744.99,12045.78,11673.00,11900.03,312811.802,1059398,160448.693
2020-10-21 12:00:00 AM,11900.03,13240.00,11876.00,12796.07,591963.069,1870576,305797.698
2020-10-22 12:00:00 AM,12796.06,13188.27,12675.50,12968.87,343851.666,1232587,162855.788
2020-10-23 12:00:00 AM,12970.39,13043.00,12725.04,12925.82,237042.526,897416,112051.403
2020-10-24 12:00:00 AM,12925.82,13177.59,12871.07,13110.88,176146.631,801400,87149.401
2020-10-25 12:00:00 AM,13110.88,13369.00,12715.00,13023.81,206012.652,889235,100425.308
2020-10-26 12:00:00 AM,13024.21,13240.00,12729.00,13047.24,316503.296,1105825,157389.764
2020-10-27 12:00:00 AM,13047.24,13787.83,13041.30,13629.38,411509.506,1299183,213506.947
2020-10-28 12:00:00 AM,13629.89,13863.00,12876.00,13256.17,476993.789,1564676,233144.485
