date,Open price,High price,Low price,Close price,Volume,Number of trades,Taker buy base asset volume
2023-02-12 05:00:00 AM,21775.10,21793.80,21764.10,21791.20,3509.602,38801,1991.274
2023-02-12 06:00:00 AM,21791.20,21806.90,21785.00,21802.90,3723.303,36631,1979.006
2023-02-12 07:00:00 AM,21803.00,21805.40,21787.60,21788.20,2475.438,27568,1189.036
2023-02-12 08:00:00 AM,21788.20,21842.60,21788.10,21794.80,5620.255,42757,2929.411
2023-02-12 09:00:00 AM,21794.90,21959.00,21791.30,21896.40,17424.821,103395,10485.909
2023-02-12 10:00:00 AM,21896.50,21911.00,21830.70,21868.90,10994.456,73848,4953.938
2023-02-12 11:00:00 AM,21869.00,21882.10,21850.00,21877.60,4777.236,39176,2290.258
2023-02-12 12:00:00 PM,21877.60,21886.30,21801.00,21806.60,11766.039,73076,5303.190
2023-02-12 01:00:00 PM,21806.60,21824.40,21750.00,21807.80,15745.816,96413,6737.345
2023-02-12 02:00:00 PM,21807.80,22000.50,21800.00,21913.80,24236.101,130908,13472.499
2023-02-12 03:00:00 PM,21913.80,21969.00,21873.00,21931.40,14675.516,99425,7647.767
2023-02-12 04:00:00 PM,21931.40,22080.90,21901.00,21991.40,30145.080,171172,15880.148
2023-02-12 05:00:00 PM,21991.30,22041.80,21955.00,21978.00,12589.739,91665,5703.666
2023-02-12 06:00:00 PM,21978.10,21982.40,21932.00,21959.90,6953.569,55103,3339.295
2023-02-12 07:00:00 PM,21960.00,22019.90,21911.00,21983.10,7855.541,57943,4221.952
2023-02-12 08:00:00 PM,21983.10,22018.50,21938.20,21955.00,5769.234,49000,2651.691
2023-02-12 09:00:00 PM,21955.10,21967.20,21694.70,21728.00,29555.654,171076,13047.684
2023-02-12 10:00:00 PM,21728.00,21812.20,21618.00,21782.30,26628.479,153174,12701.468
2023-02-12 11:00:00 PM,21782.20,21823.70,21715.20,21771.10,14353.317,92774,6967.675
2023-02-13 12:00:00 AM,21771.00,21865.40,21680.00,21800.00,20621.972,122822,10341.484
2023-02-13 01:00:00 AM,21800.00,21822.10,21641.00,21697.00,20813.650,128891,9597.053
2023-02-13 02:00:00 AM,21696.90,21754.80,21606.00,21750.20,16888.313,108177,8627.412
2023-02-13 03:00:00 AM,21750.10,21814.20,21740.00,21800.90,8810.172,63164,4848.111
2023-02-13 04:00:00 AM,21800.90,21857.00,21787.10,21828.00,12357.873,74826,6025.911
2023-02-13 05:00:00 AM,21828.00,21859.40,21808.90,21820.60,6166.767,46457,2641.901
2023-02-13 06:00:00 AM,21820.50,21841.90,21792.30,21814.60,5210.162,39559,2336.696
2023-02-13 07:00:00 AM,21814.60,21888.00,21781.50,21857.20,13726.066,80774,7405.406
